fold	seed_block	row	col	entries	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_err_mev	fit_sigma_mev	global_reference_mu_mev	raw_spatial_residual_mev	shrink_factor	regularized_spatial_residual_mev	full_energy_scale	support_pass	damping	pre_normalization_energy_scale	normalization_log_energy_shift	remaining_mean_log_mass_shift	applied_energy_scale	clipped
full_sample	59	1	29	1246	675	1	pass	136.71558895491665	0.3745998097085583	5.0644366373639125	134.98724655472546	1.7283424001911953	0.7569866342648846	1.3083320963780252	0.9808922072617248	1	0.75	0.99	0.00034413002581994926	2.090616841321379e-13	0.99	1
full_sample	63	2	3	1517	805	1	pass	135.9832691831845	0.2866101887560355	4.7521451106259125	134.98724655472546	0.9960226284590306	0.7913406364110589	0.7881931806845849	0.9884225475024382	1	0.75	0.9913042836045836	0.00034413002581994926	2.090616841321379e-13	0.9909632047269786	0
full_sample	64	2	4	1663	867	1	pass	134.4147415156347	0.22441429373021193	4.421641638285812	134.98724655472546	-0.5725050390907711	0.8061076102762966	-0.4615006689325993	1.006873463874734	1	0.75	1.0051506813697197	0.00034413002581994926	2.090616841321379e-13	1.0048048383506833	0
full_sample	65	2	5	1894	1005	1	pass	134.90778484240215	0.20366594076429825	4.22233978207476	134.98724655472546	-0.07946171232330812	0.8256320836965998	-0.06560613911959266	1.0009728205109518	1	0.75	1.000729526696056	0.00034413002581994926	2.090616841321379e-13	1.0003852048673327	0
full_sample	66	2	6	1916	1018	1	pass	134.3112623905645	0.1897026587728511	4.296268500108693	134.98724655472546	-0.6759841641609512	0.8272884283246977	-0.5592338767410978	1.0083381667005922	1	0.75	1.0062471295937836	0.00034413002581994926	2.090616841321379e-13	1.0059009093189077	0
full_sample	67	2	7	1990	1034	1	pass	135.2048329979247	0.21571367570471567	4.35476668787055	134.98724655472546	0.21758644319925224	0.8326359832635983	0.18117030207803847	0.9973209253437378	1	0.75	0.9979900203704455	0.00034413002581994926	2.090616841321379e-13	0.9976466411259098	0
full_sample	68	2	8	1946	1012	1	pass	135.10115447561932	0.1884397038375054	4.415346719855612	134.98724655472546	0.11390792089386537	0.8294970161977835	0.09448628050275448	0.9986014292901817	1	0.75	0.9989508884856897	0.00034413002581994926	2.090616841321379e-13	0.998607178634474	0
full_sample	69	2	9	1841	1055	1	pass	134.71156359952826	0.1733370630578077	3.9137366255958215	134.98724655472546	-0.27568295519719754	0.821508255243195	-0.22647582352433765	1.0033642439285577	1	0.75	1.002522123355628	0.00034413002581994926	2.090616841321379e-13	1.0021771847467023	0
full_sample	70	2	10	1816	1004	1	pass	134.60318073266407	0.1902021769607029	4.485742868413273	134.98724655472546	-0.3840658220613875	0.8194945848375451	-0.3147398614004872	1.0046799840075935	1	0.75	1.0035079386632113	0.00034413002581994926	2.090616841321379e-13	1.0031626608640047	0
full_sample	71	2	11	1805	992	1	pass	135.19782919513037	0.17007968834502632	3.845807454809608	134.98724655472546	0.21058264040490826	0.81859410430839	0.17238170790515164	0.997450638993861	1	0.75	0.9980873692933486	0.00034413002581994926	2.090616841321379e-13	0.9977439565538893	0
full_sample	72	2	12	1902	1040	1	pass	134.83423193575194	0.1705002535721265	3.695360526044329	134.98724655472546	-0.15301461897351487	0.8262380538662033	-0.12642650099375555	1.0018759451653103	1	0.75	1.0014066292093804	0.00034413002581994926	2.090616841321379e-13	1.0010620744094405	0
full_sample	73	2	13	1891	995	1	pass	134.95476089332672	0.1565475580482639	3.368554238582382	134.98724655472546	-0.032485661398737875	0.8254037538192929	-0.026813786863820743	1.00039742857685	1	0.75	1.0002980566273258	0.00034413002581994926	2.090616841321379e-13	0.9999538832548631	0
full_sample	74	2	14	1879	1032	1	pass	134.80078080730502	0.17600717752911693	3.977495241127853	134.98724655472546	-0.18646574742044209	0.8244844229925405	-0.153738104169816	1.002281894265643	1	0.75	1.00171093300264	0.00034413002581994926	2.090616841321379e-13	1.0013662735006443	0
full_sample	75	2	15	1808	996	1	pass	134.6888813430872	0.1604441451696464	3.7114919403200064	134.98724655472546	-0.29836521163827	0.8188405797101449	-0.2443135428632211	1.0036299399250073	1	0.75	1.0027212215148131	0.00034413002581994926	2.090616841321379e-13	1.0023762144020207	0
full_sample	76	2	16	1767	1014	1	pass	134.7546041184206	0.15743220090830745	3.815093742427183	134.98724655472546	-0.23264243630487158	0.8154130133825566	-0.1896996700280148	1.002816789489688	1	0.75	1.0021118491479943	0.00034413002581994926	2.090616841321379e-13	1.0017670517024517	0
full_sample	77	2	17	1806	1008	1	pass	135.10667664957657	0.16950622719189867	3.75044338131454	134.98724655472546	0.11943009485111133	0.8186763372620127	0.09777459261156259	0.9985528090657817	1	0.75	0.9989144103344436	0.00034413002581994926	2.090616841321379e-13	0.9985707130342951	0
full_sample	78	2	18	1699	950	1	pass	134.87957713714698	0.17652356767954047	3.769525579884026	134.98724655472546	-0.10766941757847803	0.8094330633635064	-0.08715118650111203	1.0012926042944412	1	0.75	1.000969296665209	0.00034413002581994926	2.090616841321379e-13	1.0006248923386358	0
