fold	run	calibration_excluded	damping	events	support_mode	support_runs	support_run_count	support_events	support_two_sided	support_shrink_alpha	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_residual_mev	fit_mu_err_mev	fit_sigma_mev	group_full_energy_scale	period_full_energy_scale	full_energy_scale	applied_energy_scale	clipped
full_sample	4305	0	1.0	3714	run_local	4305	1	3714	0	1.0	2298	1	pass	135.08129029487287	0.1046902948728814	0.10414662715003374	3.895456327174967	nan	1.0001857932630462	0.9992249830110125	0.9992249830110125	0
full_sample	4306	0	1.0	4277	run_local	4306	1	4277	0	1.0	2790	1	pass	134.77743701358852	-0.19916298641146568	0.08940297070625855	3.652042677818925	nan	1.0001857932630462	1.0014777175677512	1.0014777175677512	0
full_sample	4308	0	1.0	2478	run_local	4308	1	2478	0	1.0	1492	1	pass	135.00328557282847	0.026685572828483828	0.14001570617426937	3.9960592414508405	nan	1.0001857932630462	0.9998023339008731	0.9998023339008731	0
full_sample	4309	0	1.0	466	chronological_group_one_sided_shrunk	4309,4312	2	28230	0	0.4814482955658018	14882	1	pass	135.02466169251966	0.048061692519667076	0.04907463635577479	4.0337183741276466	0.9996440524870256	1.0002166060327013	0.9999409101802351	0.9999409101802351	0
full_sample	4312	0	1.0	27764	run_local	4312	1	27764	0	1.0	14610	1	pass	135.02163771337462	0.04503771337462581	0.04956243261064513	4.03057989545713	nan	1.0002166060327013	0.9996664407709953	0.9996664407709953	0
full_sample	4313	0	1.0	31806	run_local	4313	1	31806	0	1.0	16849	1	pass	135.09814499763218	0.12154499763218496	0.0464549134529795	4.07881413650195	nan	1.0002166060327013	0.9991003207510043	0.9991003207510043	0
full_sample	4314	0	1.0	31068	run_local	4314	1	31068	0	1.0	16417	1	pass	135.0035386651377	0.026938665137720363	0.0461173762133183	4.034004364871476	nan	1.0002166060327013	0.9998004595627339	0.9998004595627339	0
full_sample	4315	0	1.0	29033	run_local	4315	1	29033	0	1.0	15164	1	pass	135.0017770939124	0.025177093912418513	0.047423454242958824	4.0156161139293225	nan	1.0002166060327013	0.9998135054630066	0.9998135054630066	0
full_sample	4316	0	1.0	31135	run_local	4316	1	31135	0	1.0	16568	1	pass	135.05088655641174	0.07428655641174942	0.046706060523279885	4.029944447618654	nan	1.0002166060327013	0.9994499365512812	0.9994499365512812	0
full_sample	4317	0	1.0	30834	run_local	4317	1	30834	0	1.0	16383	1	pass	134.95821150363997	-0.018388496360017825	0.04625741785414395	4.028767019804492	nan	1.0002166060327013	1.0001362532605844	1.0001362532605844	0
full_sample	4318	0	1.0	29903	run_local	4318	1	29903	0	1.0	15661	1	pass	135.07970273897513	0.10310273897513866	0.047632646789581456	4.03128810931625	nan	1.0002166060327013	0.9992367266370553	0.9992367266370553	0
full_sample	4319	0	1.0	30018	run_local	4319	1	30018	0	1.0	15881	1	pass	135.09109930730756	0.11449930730756819	0.04729849911585588	4.09766365704349	nan	1.0002166060327013	0.9991524289320712	0.9991524289320712	0
full_sample	4320	0	1.0	8676	run_local	4320	1	8676	0	1.0	4875	1	pass	135.0566171806834	0.08001718068339869	0.07749048477469266	3.8000177638530768	nan	1.0002166060327013	0.9994075286175993	0.9994075286175993	0
full_sample	4321	0	1.0	9533	run_local	4321	1	9533	0	1.0	5468	1	pass	134.9923672559426	0.015767255942620295	0.07314122843754772	3.9504140940275607	nan	1.0002166060327013	0.9998831989077374	0.9998831989077374	0
full_sample	4323	0	1.0	8367	run_local	4323	1	8367	0	1.0	5061	1	pass	135.18305663036193	0.2064566303619415	0.06965445890253982	3.736921851154928	nan	1.0002166060327013	0.9984727625228473	0.9984727625228473	0
full_sample	4324	0	1.0	2135	run_local	4324	1	2135	0	1.0	1144	1	pass	134.99786856240488	0.021268562404884506	0.1637775855230477	3.7882399819660195	nan	1.0002166060327013	0.9998424526058717	0.9998424526058717	0
full_sample	4349	0	1.0	22083	run_local	4349	1	22083	0	1.0	12920	1	pass	132.5795588862555	-2.3970411137444785	0.04863076812615335	3.997309725000656	nan	1.0002166060327013	1.018080020282772	1.018080020282772	0
full_sample	4350	0	1.0	21515	run_local	4350	1	21515	0	1.0	12602	1	pass	135.04470391266972	0.06810391266972715	0.05240795215897261	4.124731704144718	nan	1.0002166060327013	0.9994956935688958	0.9994956935688958	0
full_sample	4351	0	1.0	27109	run_local	4351	1	27109	0	1.0	15830	1	pass	134.99589958601013	0.019299586010134817	0.045381638868979834	4.049498497174473	nan	1.0002166060327013	0.9998570357613134	0.9998570357613134	0
full_sample	4352	0	1.0	26934	run_local	4352	1	26934	0	1.0	15735	1	pass	134.99535293124296	0.018752931242971727	0.045263734761008215	4.008722365677549	nan	1.0002166060327013	0.9998610846163533	0.9998610846163533	0
