fold	run	calibration_excluded	damping	events	support_mode	support_runs	support_run_count	support_events	support_two_sided	support_shrink_alpha	fit_entries	fit_ok	fit_reasons	fit_mu_mev	fit_mu_residual_mev	fit_mu_err_mev	fit_sigma_mev	group_full_energy_scale	period_full_energy_scale	full_energy_scale	applied_energy_scale	clipped
full_sample	4315	0	1.0	29033	run_local	4315	1	29033	0	1.0	15129	1	pass	135.12251041177333	0.14591041177334318	0.049865598718056695	4.152633717205719	nan	0.9991710497327776	0.9989201620712294	0.9989201620712294	0
full_sample	4316	0	1.0	31135	run_local	4316	1	31135	0	1.0	16527	1	pass	135.1593547786574	0.1827547786573973	0.048716804771444716	4.158740516484892	nan	0.9991710497327776	0.9986478569762582	0.9986478569762582	0
full_sample	4317	0	1.0	30834	run_local	4317	1	30834	0	1.0	16326	1	pass	135.04991068821235	0.07331068821235931	0.048357477550995856	4.1788416476661405	nan	0.9991710497327776	0.9994571585583525	0.9994571585583525	0
full_sample	4318	0	1.0	29903	run_local	4318	1	29903	0	1.0	15637	1	pass	135.21670291309974	0.24010291309974718	0.04963153490547578	4.137222954719494	nan	0.9991710497327776	0.9982243102521583	0.9982243102521583	0
full_sample	4319	0	1.0	30018	run_local	4319	1	30018	0	1.0	15834	1	pass	135.1805667990546	0.2039667990545979	0.05024805271166457	4.290455331983976	nan	0.9991710497327776	0.9984911529527924	0.9984911529527924	0
full_sample	4320	0	1.0	8676	run_local	4320	1	8676	0	1.0	4855	1	pass	135.20069439727564	0.22409439727564973	0.08171140358697195	4.026296603034304	nan	0.9991710497327776	0.9983425055745855	0.9983425055745855	0
full_sample	4321	0	1.0	9533	run_local	4321	1	9533	0	1.0	5458	1	pass	135.14713841813585	0.17053841813586246	0.07636471752745919	4.069082761395088	nan	0.9991710497327776	0.998738127790703	0.998738127790703	0
full_sample	4323	0	1.0	8367	run_local	4323	1	8367	0	1.0	5031	1	pass	135.27299448169543	0.2963944816954438	0.07212205128835972	3.8599680078967187	nan	0.9991710497327776	0.9978089160897851	0.9978089160897851	0
full_sample	4324	0	1.0	2135	run_local	4324	1	2135	0	1.0	1139	1	pass	135.06717147745385	0.09057147745386374	0.1781033275893476	4.170568518633285	nan	0.9991710497327776	0.9993294338182762	0.9993294338182762	0
full_sample	4349	0	1.0	22083	run_local	4349	1	22083	0	1.0	12904	1	pass	132.74254152654177	-2.2340584734582194	0.050962950371354156	4.107432253241977	nan	0.9991710497327776	1.0168300112968043	1.0168300112968043	0
full_sample	4350	0	1.0	21515	run_local	4350	1	21515	0	1.0	12571	1	pass	135.2313353099481	0.2547353099481029	0.0551526841480411	4.2772344351603975	nan	0.9991710497327776	0.9981162996774064	0.9981162996774064	0
full_sample	4351	0	1.0	27109	run_local	4351	1	27109	0	1.0	15804	1	pass	135.21392774763683	0.23732774763684006	0.04739484005205842	4.180937102431551	nan	0.9991710497327776	0.9982447980648873	0.9982447980648873	0
full_sample	4352	0	1.0	26934	run_local	4352	1	26934	0	1.0	15702	1	pass	135.2397693178223	0.26316931782230313	0.047331391871803095	4.167047409513111	nan	0.9991710497327776	0.9980540537805574	0.9980540537805574	0
full_sample	4353	0	1.0	7242	run_local	4353	1	7242	0	1.0	4341	1	pass	135.19665694765683	0.22005694765684325	0.08289857004134364	4.021282488757321	nan	0.9991710497327776	0.9983723196074142	0.9983723196074142	0
full_sample	4354	0	1.0	6243	run_local	4354	1	6243	0	1.0	3837	1	pass	135.28211408080966	0.30551408080967235	0.08936113950912768	4.21894156764496	nan	0.9991710497327776	0.9977416520810195	0.9977416520810195	0
full_sample	4355	0	1.0	4413	run_local	4355	1	4413	0	1.0	2860	1	pass	135.17084094906713	0.19424094906713663	0.09387600905065056	3.8483429299119707	nan	0.9991710497327776	0.9985629966662682	0.9985629966662682	0
full_sample	4356	0	1.0	2850	run_local	4356	1	2850	0	1.0	1640	1	pass	135.59709410494722	0.6204941049472268	0.13863723451775278	3.8851892711118867	nan	0.9991710497327776	0.9954239867082477	0.9954239867082477	0
full_sample	4357	0	1.0	438	chronological_group_two_sided	4357,4356,4358	3	3621	1	1.0	2052	1	pass	135.46526481143147	0.48866481143147666	0.12647480659692995	3.9674434041548294	0.9963926929009315	0.9991710497327776	0.9963926929009315	0.9963926929009315	0
full_sample	4358	0	1.0	333	chronological_group_two_sided	4358,4357,4359	3	33057	1	1.0	17482	1	pass	135.14217808122606	0.16557808122607298	0.0486686474632971	4.238730226235381	0.9987747860543837	0.9991710497327776	0.9987747860543837	0.9987747860543837	0
full_sample	4359	0	1.0	32286	run_local	4359	1	32286	0	1.0	17070	1	pass	135.1482907066217	0.17169070662171748	0.0493355481802222	4.242453799668151	nan	0.9991710497327776	0.9987296124447891	0.9987296124447891	0
full_sample	4360	0	1.0	34941	run_local	4360	1	34941	0	1.0	18287	1	pass	135.20286431119635	0.2262643111963598	0.04785598848652492	4.262009488153376	nan	0.9991710497327776	0.9983264828570824	0.9983264828570824	0
full_sample	4361	0	1.0	29989	run_local	4361	1	29989	0	1.0	15820	1	pass	135.19943457157441	0.222834571574424	0.050841511987261806	4.2006207008545156	nan	0.9991710497327776	0.998351808406	0.998351808406	0
full_sample	4362	0	1.0	31591	run_local	4362	1	31591	0	1.0	16571	1	pass	135.0333262283825	0.05672622838250163	0.04972269560040832	4.2700929093480156	nan	0.9991710497327776	0.9995799094196454	0.9995799094196454	0
full_sample	4363	0	1.0	31585	run_local	4363	1	31585	0	1.0	16559	1	pass	135.23980702341683	0.26320702341683955	0.050657855938382595	4.311088936023517	nan	0.9991710497327776	0.9980537755176532	0.9980537755176532	0
full_sample	4364	0	1.0	31830	run_local	4364	1	31830	0	1.0	16579	1	pass	135.1627961402576	0.1861961402576071	0.04933005280845948	4.21244543558463	nan	0.9991710497327776	0.9986224305387675	0.9986224305387675	0
full_sample	4365	0	1.0	9810	run_local	4365	1	9810	0	1.0	5170	1	pass	135.16355868877235	0.1869586887723642	0.08505713049935953	4.116777645841567	nan	0.9991710497327776	0.9986167966381911	0.9986167966381911	0
full_sample	4366	0	1.0	21780	run_local	4366	1	21780	0	1.0	11415	1	pass	135.0608748000818	0.08427480008180055	0.06019016607875112	4.215839902835356	nan	0.9991710497327776	0.9993760235878336	0.9993760235878336	0
full_sample	4367	0	1.0	30489	run_local	4367	1	30489	0	1.0	15876	1	pass	135.07033743333224	0.09373743333225093	0.052280166508392935	4.320647940768511	nan	0.9991710497327776	0.999306010223166	0.999306010223166	0
full_sample	4368	0	1.0	8443	run_local	4368	1	8443	0	1.0	4690	1	pass	135.0787585987078	0.10215859870780264	0.08637788114095736	4.108765876306298	nan	0.9991710497327776	0.9992437108560399	0.9992437108560399	0
full_sample	4369	0	1.0	9144	run_local	4369	1	9144	0	1.0	5156	1	pass	135.03841473159545	0.06181473159546158	0.07897446385619346	4.065070841575067	nan	0.9991710497327776	0.9995422433555791	0.9995422433555791	0
full_sample	4370	0	1.0	3363	run_local	4370	1	3363	0	1.0	1987	1	pass	135.1330977697314	0.15649776973140206	0.12013222686576418	4.017387373206753	nan	0.9991710497327776	0.998841899043874	0.998841899043874	0
full_sample	4371	0	1.0	2720	run_local	4371	1	2720	0	1.0	1633	1	pass	135.03649091367606	0.05989091367607102	0.13186007889625476	3.8677792464948055	nan	0.9991710497327776	0.9995564834862722	0.9995564834862722	0
full_sample	4372	0	1.0	1898	chronological_group_one_sided_shrunk	4372,4371	2	4618	0	0.41490119655006313	2619	1	pass	135.1306596802415	0.15405968024151662	0.11322162710692082	4.006108268869842	0.998859920608646	0.9991710497327776	0.9990419501255525	0.9990419501255525	0
full_sample	4397	0	1.0	24999	run_local	4397	1	24999	0	1.0	14436	1	pass	135.14187882376692	0.1652788237669256	0.05013829348374361	4.217658963945686	nan	0.9991710497327776	0.9987769977359686	0.9987769977359686	0
full_sample	4398	0	1.0	22923	run_local	4398	1	22923	0	1.0	13337	1	pass	135.1781734423268	0.2015734423268043	0.052255090730167326	4.218880396299486	nan	0.9991710497327776	0.998508831439324	0.998508831439324	0
full_sample	4399	0	1.0	24676	run_local	4399	1	24676	0	1.0	14370	1	pass	135.22512793564178	0.2485279356417891	0.05046119992531769	4.246497788811859	nan	0.9991710497327776	0.9981621172082745	0.9981621172082745	0
full_sample	4400	0	1.0	25164	run_local	4400	1	25164	0	1.0	14669	1	pass	135.17697517005564	0.20037517005565064	0.05098146784354629	4.23422908172243	nan	0.9991710497327776	0.9985176826911272	0.9985176826911272	0
full_sample	4401	0	1.0	5257	run_local	4401	1	5257	0	1.0	3163	1	pass	135.10917313384024	0.13257313384025338	0.0979889464427425	3.9584815453245166	nan	0.9991710497327776	0.9990187702968997	0.9990187702968997	0
full_sample	4402	0	1.0	5145	run_local	4402	1	5145	0	1.0	3186	1	pass	135.05037372022332	0.07377372022332906	0.09402547382357523	3.929032319304336	nan	0.9991710497327776	0.9994537318321224	0.9994537318321224	0
full_sample	4403	0	1.0	3829	run_local	4403	1	3829	0	1.0	2433	1	pass	135.06049495699378	0.08389495699378813	0.10155566030218208	3.8988029691500077	nan	0.9991710497327776	0.9993788342252077	0.9993788342252077	0
